#t	x1	x2	abserr	h	yscale
6.5746706171e+00	1.9182280935e-03	-4.6252801082e-04	1.2006022263e-13	3.4000056572e-02	2.0836847179e-03
6.6086706737e+00	1.8358964252e-03	-5.1677479434e-04	1.1517036287e-13	3.4174329470e-02	2.0009212667e-03
6.6428450032e+00	1.7539780551e-03	-5.6640613731e-04	1.1027898935e-13	3.4357806915e-02	1.9182596568e-03
6.6772028101e+00	1.6726165602e-03	-6.1155895312e-04	1.1003506752e-13	3.4255460130e-02	1.8358636419e-03
6.7114582702e+00	1.5926323104e-03	-6.5204024898e-04	1.0849680797e-13	3.3935535488e-02	1.7531897360e-03
6.7453938057e+00	1.5146380301e-03	-6.8787072519e-04	1.0333868951e-13	3.3624334174e-02	1.6712650685e-03
6.7790181399e+00	1.4386904710e-03	-7.1936555296e-04	9.8272928892e-14	3.3324064792e-02	1.5912658311e-03
6.8123422047e+00	1.3648268203e-03	-7.4682381509e-04	9.3363126472e-14	3.3033047626e-02	1.5132692458e-03
6.8453752523e+00	1.2930752690e-03	-7.7052548902e-04	8.8607383092e-14	3.2749750514e-02	1.4373221726e-03
6.8781250028e+00	1.2234558942e-03	-7.9073320590e-04	8.4003155025e-14	3.2472816812e-02	1.3634615143e-03
6.9105978196e+00	1.1559813290e-03	-8.0769379288e-04	7.9548209430e-14	3.2201029202e-02	1.2917153251e-03
6.9427988488e+00	1.0906573927e-03	-8.2163958112e-04	7.5240490525e-14	3.1933280679e-02	1.2221035302e-03
6.9747321295e+00	1.0274836821e-03	-8.3278952863e-04	7.1078041383e-14	3.1668549492e-02	1.1546386029e-03
7.0064006790e+00	9.6645412780e-04	-8.4135019468e-04	6.7058915171e-14	3.1405879946e-02	1.0893261959e-03
7.0378065589e+00	9.0755751420e-04	-8.4751659563e-04	6.3181155608e-14	3.1144363878e-02	1.0261657403e-03
7.0689509228e+00	8.5077796891e-04	-8.5147296375e-04	5.9442746816e-14	3.0883125998e-02	9.6515099927e-04
7.0998340488e+00	7.9609542050e-04	-8.5339342745e-04	5.5841605175e-14	3.0626004773e-02	9.0696558787e-04
7.1304600536e+00	7.4347808526e-04	-8.5344249828e-04	5.2415862692e-14	3.0757003107e-02	9.0681468424e-04
7.1612170567e+00	6.9226103191e-04	-8.5174309098e-04	5.2362379306e-14	3.0885739215e-02	9.0547558225e-04
7.1921027959e+00	6.4247651127e-04	-8.4838184576e-04	5.2216431589e-14	3.1010904886e-02	9.0235376800e-04
7.2231137008e+00	5.9415467798e-04	-8.4344562597e-04	5.1968223858e-14	3.1132925844e-02	8.9753794455e-04
7.2542466266e+00	5.4732073744e-04	-8.3702121176e-04	5.1623244996e-14	3.1252202064e-02	8.9111998853e-04
7.2854988287e+00	5.0199516880e-04	-8.2919497553e-04	5.1187020332e-14	3.1369105643e-02	8.8319147453e-04
7.3168679343e+00	4.5819395487e-04	-8.2005259294e-04	5.0665029122e-14	3.1483985470e-02	8.7384334255e-04
